id,nombre,lng,lat,altitud,corriente,zona,subzona,cenpoblado,municipio,depart,ctg,cotacero,areaaferete,maxnivel,maxcaudal,umbralsen,umbralobs,umbralpron,uroja,unaranja,uamarilla,ubajos,umaxhis,subred,en_H,en_Hsim,en_Q,en_Qsim,en_Calidad,NIVEL,CAUDAL
00100001,BOCATOMA TELLO,-75.06166667,3.052222222,767.0,Villavieja,Alto Magdalena,Juncal y otros Rios directos al Magdalena,TELLO,TELLO,HUILA,Limnimétrica,0.0,,,,,,,0.0,0.25,0.5,,,CONVENIO CAM,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
00100003,CAV. TERUEL,-75.57527778,2.7625,1055.0,Qda. la Maria,Alto Magdalena,Río Páez,TERUEL,TERUEL,HUILA,Limnimétrica,0.0,,,,,,,0.0,0.25,0.5,,,CONVENIO CAM,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
00100004,EL BATÁN,-75.075,2.796666667,1617.0,Ceibas,Alto Magdalena,Río Fortalecillas y otros,NEIVA,NEIVA,HUILA,Limnimétrica,0.0,,,,,,,0.0,0.25,0.5,,,CONVENIO CAM,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
00100005,FINCA SAN BENITO,-75.59944444,2.182777778,1043.0,Qda.de Garzon,Alto Magdalena,Ríos directos Magdalena (md),GARZÓN,GARZÓN,HUILA,Limnimétrica,0.0,,,,,,,0.0,0.25,0.5,,,CONVENIO CAM,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
00100006,LA FLORESTA,-75.58777778,2.630277778,655.0,Yaguara,Alto Magdalena,Río Yaguará y Río Iquira,YAGUARA,YAGUARA,HUILA,Limnimétrica,0.0,,,,,,,0.0,0.25,0.5,,,CONVENIO CAM,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
00100007,LA LINDOSA,-75.14777778,2.877222222,822.0,Ceibas,Alto Magdalena,Río Fortalecillas y otros,NEIVA,NEIVA,HUILA,Limnimétrica,0.0,,,,,,,0.0,0.25,0.5,,,CONVENIO CAM,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
00100008,CANAL FORTALECILLA,-75.11277778,2.99559,692.0,Fortalecillas,Alto Magdalena,Río Fortalecillas y otros,TELLO,TELLO,HUILA,Limnimétrica,0.0,,,,,,,0.0,0.25,0.5,,,CONVENIO CAM,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
00100009,LAS JUNTAS,-75.21194444,2.758055556,1170.0,Frio,Alto Magdalena,Río Neiva,RIVERA,RIVERA,HUILA,Limnimétrica,0.0,,,,,,,0.0,0.25,0.5,,,CONVENIO CAM,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
00100010,LAS VUELTAS MG-4,-75.53777778,2.527222222,577.0,Magdalena,Alto Magdalena,Ríos directos Magdalena (md),GIGANTE,GIGANTE,HUILA,Limnimétrica,0.0,,,,,,,0.0,0.25,0.5,,,CONVENIO CAM,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
00100011,LOS MICOS,-75.1325,2.915277778,797.0,Qda.el Mico,Alto Magdalena,Río Fortalecillas y otros,NEIVA,NEIVA,HUILA,Limnimétrica,0.0,,,,,,,0.0,0.25,0.5,,,CONVENIO CAM,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
00100012,MESA DE HERNANDEZ,-75.46361111,2.9548333,634.0,Bache,Alto Magdalena,Río Baché,PALERMO,PALERMO,HUILA,Limnimétrica,0.0,,,,,,,0.0,0.25,0.5,,,CONVENIO CAM,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
00100014,PTE. BRUSELAS,-76.16388889,1.785,1417.0,Guachicos,Alto Magdalena,Alto Magdalena,PITALITO,PITALITO,HUILA,Limnimétrica,0.0,,,,,,,0.0,0.25,0.5,,,CONVENIO CAM,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
0011017020,PR CHOCO- BAGADO [11017020],-76.4179,5.412,,,Atrato - Darién,Río Andágueda,BAGADO,BAGADO,CHOCO,Limnigráfica,0.0,,2.94,,,,,,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
0011027030,SIETE EL [11027030],-76.152139,5.862111,2300.0,ATRATO,Atrato - Darién,Alto Atrato,EL CARMEN DE ATRATO,EL CARMEN DE ATRATO,CHOCO,Limnigráfica,0.0,204.109382577,1.57,4.1,,,,0.0,0.25,0.5,0.91,5.0,RED NACIONAL DE CALIDAD DEL AGUA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
0011027070,BORAUDO AUTOM   [11027070],-76.575694,5.514611,39.851,ATRATO,Atrato - Darién,Río Quito,LLORO,LLORO,CHOCO,Limnigráfica,37.57,,8.02,4698.93,Roja,,Roja,7.0,6.5,6.0,1.57,9.44,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
0011047010,BELEN    [11047010],-76.669667,5.764833,20.579,ATRATO,Atrato - Darién,Río Cabi y otros Directos Atrato (md),SAN FRANCISCO DE QUIBDO,QUIBDO,CHOCO,Limnigráfica,18.21,5432.07181443,,,,,,8.38,,,2.0,9.98,,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
0011047020,QUIBDO AUTOM   [11047020],-76.66205,5.697972,20.83,ATRATO,Atrato - Darién,Río Cabi y otros Directos Atrato (md),SAN FRANCISCO DE QUIBDO,QUIBDO,CHOCO,Limnigráfica,21.97,4751.04865936,5.17,1891.38,,,Amarilla,6.5,5.623037,4.746074,0.06,9.0,RED NACIONAL DE CALIDAD DEL AGUA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
0011057020,SAN ANTONIO PADUA [11057020],-76.757724,6.292068,18.0,ATRATO,Atrato - Darién,Directos Atrato entre ríos Bebaramá y Murrí (md),VIGIA DEL FUERTE,VIGIA DEL FUERTE,ANTIOQUIA,Limnigráfica,0.0,10511.3513093,7.49,2382.1,,,,,,,0.11,8.83,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
0011077020,MAGDALENA LA [11077020],-76.134417,6.298389,1770.0,PENDERISCO,Atrato - Darién,Río Murrí,URRAO,URRAO,ANTIOQUIA,Limnigráfica,0.0,632.285341964,1.42,50.45,,,,,,,0.01,2.9,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
001111700230,CURVARADO [1111700230],-76.964783,7.159725,8.0,Atrato,Atrato - Darién,Río Sucio,CARMEN DEL DARIÉN  (CURBARADÓ),CARMEN DEL DARIÉN  (CURBARADÓ),CHOCO,Limnigráfica,0.0,,2.54,,,,,,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
001111700231,MUTATA [1111700231],-76.433458,7.239492,128.0,Mutata,Atrato - Darién,Río Sucio,MUTATÁ,MUTATÁ,ANTIOQUIA,Limnigráfica,0.0,,0.58,,,,,,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
0011117010,ANIL EL   [11117010],-76.149583,6.873889,650.0,RIOSUCIO,Atrato - Darién,Río Sucio,URAMITA,URAMITA,ANTIOQUIA,Limnimétrica,0.0,715.002646049,1.6,36.0,,,,,,,0.41,4.8,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
0011117040,MUTATA [11117040],-76.438056,7.229444,132.0,RIOSUCIO,Atrato - Darién,Río Sucio,MUTATA,MUTATA,ANTIOQUIA,Limnigráfica,0.0,3320.4625456,3.37,363.35,,,,,,,1.03,8.48,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
0011117050,DABEIBA 2   [11117050],-76.288472,7.010444,650.0,RIOSUCIO,Atrato - Darién,Río Sucio,DABEIBA,DABEIBA,ANTIOQUIA,Limnigráfica,650.0,1973.8413801,1.44,128.8,,,,4.2,3.8,3.3,0.29,4.28,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
0011155030,CAPURGANA AUTOMATICA [11155030],-77.328194,8.61625,2.0,MAR CARIBE,Atrato - Darién,Río Tolo y otros Directos al Caribe,ACANDI,ACANDI,CHOCO,Meteorológica Marina,0.0,,,,,,,,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
0012017010,CHIGORODO    [12017010],-76.68391667,7.673055556,50.0,CHIGORODO,Caribe - Litoral,Río León,CHIGORODO,CHIGORODO,ANTIOQUIA,Limnimétrica,0.0,195.35766748,2.23,125.98,,,,,,,0.0,6.0,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
0012017020,BARRANQUILLITA    [12017020],-76.715668,7.576296,33.0,LEON,Caribe - Litoral,Río León,CHIGORODO,CHIGORODO,ANTIOQUIA,Limnigráfica,0.0,683.017370397,3.81,73.51,,,,,,,0.5,7.24,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
0012027010,PUEBLO BELLO   [12027010],-76.524944,8.203722,84.0,MULATOS,Caribe - Litoral,Río Mulatos y otros directos al Caribe,DISTRITO ESPECIAL DE TURBO,TURBO,ANTIOQUIA,Limnigráfica,0.0,308.314160788,1.73,11.14,,,,5.0,4.03,3.06,0.19,10.0,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
0012037010,CANDELARIA LA [12037010],-76.44583333,8.659722222,5.0,SAN JUAN D URABA,Caribe - Litoral,Río San Juan,ARBOLETES,ARBOLETES,ANTIOQUIA,Limnimétrica,0.0,1045.97119998,3.02,,,,,,,,0.05,9.97,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
0012037030,CARMELO EL   [12037030],-76.39,8.62,20.0,SAN JUAN D URABA,Caribe - Litoral,Río San Juan,ARBOLETES,ARBOLETES,ANTIOQUIA,Limnimétrica,0.0,840.834762001,2.49,,,,,,,,0.0,4.95,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
0012067001,GUAJARO EMBALSE AUT [12067001],-75.096278,10.520556,6.0,EMBALSE GUAJARO,Bajo Magdalena,Canal del Dique margen derecho,REPELON,REPELON,ATLANTICO,Limnigráfica,0.0,,2.81,,,,,,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
0013027040,CAÑO BARRO - AUT [13027040],-74.960439,8.235847,24.0,CANO BARRO,Bajo Magdalena- Cauca -San Jorge,Bajo San Jorge - La Mojana,AYAPEL,AYAPEL,CORDOBA,Limnimétrica,20.45,,3.24,,,,,3.9,3.67,3.45,0.01,5.96,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
0013047030,TIERRALTA [13047030],-76.06461111,8.187055556,100.317,SINU,Sinú,Medio Sinú,TIERRALTA,TIERRALTA,CORDOBA,Limnigráfica,94.453,,4.74,737.52,,,Amarilla,5.647,5.147,4.647,2.05,7.85,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
0013057010,NUEVA COLOMBIA   [13057010],-75.978611,8.499444,25.499,SINU,Sinú,Medio Sinú,MONTERIA,MONTERIA,CORDOBA,Limnimétrica,19.779,,3.37,523.18,,,,6.321,5.821,5.321,0.69,5.92,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
