Folder,Data_Source,Code,Name,Latitude,Longitude,COMID_v1,COMID_v2,Bias Corrected,Corrected Variability,Corrected Correlation,Corrected KGE
Africa,Rwanda,259501,Kanzenze,-2.0613,30.0877,7075305,160266239,1.176756385,0.779449582,0.52594364,0.448080858
Africa,Rwanda,SW9,Mbirurume outlet,-2.202837,29.559848,7075629,160179812,1.055992359,1.264253228,0.681555461,0.58242146
Africa,Rwanda,70008,Ngaru Nyabarongo,-1.733205,29.661535,7074922,160198484,0.945653973,1.195634088,0.272921741,0.24510333
Africa,Rwanda,294701,Nyakinama Mukungwa,-1.5542,29.6441,7074700,160200814,0.95596745,1.289897939,0.205992878,0.153579897
Africa,Rwanda,196501,Nyundo,-1.709148,29.349223,7074896,130613583,0.937946687,1.019326336,0.09028156,0.087962851
Africa,Rwanda,SW13,Pfunda,-1.710058,29.30989,7074896,130548529,0.863210563,1.219051249,0.240856463,0.198131115
Africa,Rwanda,270001,Ruliba,-1.96253,30.00348,7075309,160233531,0.992120054,1.02702181,0.51868017,0.517857852
Africa,Togo,1474000118_2,Djamde-Mono,8.5944,1.2619,7054724,140683997,0.789063937,1.005048611,0.250695007,0.221554444
Africa,Togo,1473401508,Hahotoe,6.3295,1.38176,7060923,140410436,1.098384851,0.95987576,0.621105272,0.606489202
Africa,Togo,1472705903,Kessibo,7.7,0.583333,7057083,140542831,0.985217484,0.923658074,0.797720402,0.783289021
Africa,Togo,1473402205,Kpedji,6.5333,1,7061061,140432267,1.004688742,1.169944218,0.701887735,0.656817914
Africa,Togo,1473409003,Kpeme,6.2167,1.483333,7060969,140398795,0.975768434,1.086896725,0.392656939,0.385993646
Africa,Togo,1474000113,Kpondave,6.3721,1.78125,7060800,140480320,0.959366115,1.04422444,0.655378414,0.650184403
Africa,Togo,1473302206,Pont Zebe,6.2434,1.613472,7060950,140403163,1.022098193,0.695961821,0.097079449,0.04700836
Africa,Togo,1473402209,Togblecope,6.25,1.166667,7061061,140395878,0.999258985,1.04256474,0.74568978,0.742151218
Australia,Australia,201001,Oxley River at Eungella (201001),-28.3553,153.292,241190,541460321,0.34073076,3.102180164,0.469539684,-1.266094773
Australia,Australia,203005,Richmond River at Wiangaree (203005),-28.5065,152.9658,241986,541557094,0.390559903,2.406005701,0.487573284,-0.615812613
Australia,Australia,203010,Leycester River at Rock Valley (203010),-28.7381,153.163,242593,541585329,0.539976117,2.32323188,0.452838021,-0.503978328
Australia,Australia,203030,Myrtle Creek at Rappville (203030),-29.1116,152.9984,243874,541656574,0.25265475,3.028975866,0.533044036,-1.212084054
Australia,Australia,204002,Clarence River at Tabulam (204002),-28.89,152.56,243074,541828597,0.575017217,1.737457224,0.675915136,0.089239591
Australia,Australia,204007,Clarence River at Lilydale (Newbold Crossing (204007),-29.51,152.68,245439,541800398,0.689870499,1.705318677,0.624167497,0.142734105
Australia,Australia,204014,Mann River at Mitchell (204014),-29.695,152.105,246076,541715733,0.912907359,1.353970306,0.668454326,0.507249922
Australia,Australia,204017,Bielsdown Creek at Dorrigo No.2 and No.3 (204017),-30.307,152.714,248066,541394541,0.530441264,2.520625311,0.573414896,-0.647653359
Australia,Australia,204025,Orara River at Karangi (204025),-30.254,153.032,247910,541257451,0.685292805,1.977207366,0.576312929,-0.110623964
Australia,Australia,204030,Aberfoyle River at Aberfoyle (204030),-30.26,152.088,247927,541359594,0.569787712,2.062261039,0.566302672,-0.22538749
Australia,Australia,204036,Cataract Creek at Sandy Hill (below Snake Ck) (204036),-28.934,152.217,243378,541410616,0.554220005,1.905298568,0.548706069,-0.105419157
Australia,Australia,204037,Clouds Creek at Clouds Ck (204037),-30.094,152.628,247309,541402597,0.366308229,2.89971212,0.621802766,-1.038014855
Australia,Australia,204039,Maryland River at D/S Wylie Ck (204039),-28.468,152.198,241871,541565157,0.232954038,3.823235442,0.448585903,-1.977091764
Australia,Australia,204041,Orara River at Bawden Br (204041),-29.724,152.809,246021,541700950,0.497185512,2.047513748,0.711526251,-0.197215338
Australia,Australia,204046,Timbarra River at Drake (204046),-29.057,152.385,243591,541731836,0.820872487,1.635388159,0.613231207,0.234888977
Australia,Australia,204051,Clarence River at Paddys Flat (204051),-28.721,152.417,242667,541761391,0.531641293,2.197027258,0.546493336,-0.363048946
Australia,Australia,204056,Dandahra Creek at Gibraltar Range (204056),-29.486,152.446,245312,541323278,0.403349868,2.696443617,0.595418972,-0.843257479
Australia,Australia,204906,Orara River at Glenreagh (204906),-30.07,152.98,247384,541586724,0.525201726,1.999717816,0.617813937,-0.170869463
Australia,Australia,206009,Tia River at Tia (206009),-31.1878,151.8291,251144,541472527,0.695298591,1.951453282,0.598522319,-0.076703592
Australia,Australia,206014,Wollomombi River at Coninside (206014),-30.4764,152.0289,248828,541574643,0.515308345,2.152381334,0.573171432,-0.321019064
Australia,Australia,206018,Apsley River at Apsley Falls (206018),-31.0512,151.7663,250705,541577354,0.630432895,1.974853152,0.536584106,-0.140908762
Australia,Australia,206025,Salisbury Waters River at near Dangar Falls (206025),-30.681,151.7133,249365,541581371,0.396375135,3.259465082,0.468377079,-1.398367855
