Station,Latitude,Longitude,COMID_v1,Bias Corrected,Corrected Variability,Corrected Correlation,Corrected KGE
Adiyan_adiyan_km0157,7.2926,3.207,7058228,0.999505945,1.197077799,0.672271884,0.617579262
Adiyan_adiyan_km0158,7.3024,3.2019,7058228,0.999158121,1.211569407,0.37544771,0.340585195
Bandama_bandama_km0076,5.6149,-4.8287,7062823,1.070013456,0.946091683,0.644338741,0.63352637
Bandama_bandama_km0156,6.1286,-4.953,7061393,1.002110358,0.689802205,0.344409172,0.274723184
Bandama_bandama_km0255,6.6004,-5.3724,7060067,1.000240952,0.946752981,0.462098756,0.459469657
Bandama_bandama-Blanc_km0526,8.1106,-5.3951,7056365,1.001526972,1.098077672,0.835798429,0.808731296
Bandama_bandama-Blanc_km0533,8.1639,-5.3979,7056365,1.00129298,0.947042006,0.918056062,0.902424235
Bandama_bandama-Blanc_km0573,8.337,-5.4371,7055419,1.000999899,1.054732929,0.922182042,0.904856278
Bandama_bandama-Blanc_km0575,8.3431,-5.4479,7055419,1.001261993,1.123641566,0.926742239,0.856279685
Bandama_marahoue_km0309,6.9081,-5.5849,7059175,0.99963056,1.03867885,0.79536903,0.791745291
Bandama_n-Zi_km0691,7.7321,-4.648,7056949,1.000506031,1.140835548,0.754799355,0.717231077
Batha_batha_km0185,13.0976,18.5613,7042639,0.998618026,1.061266837,0.243644876,0.241166284
Batha_batha_km0320,12.9581,19.2274,7042801,0.997900428,1.094169295,0.875150735,0.843604337
Batha_batha_km0453,13.2659,19.9841,7042097,0.99820106,1.077236321,0.674379747,0.665340121
Betsiboka_betsiboka_km0017,-16.0586,46.5796,7091924,1.028319367,0.971622373,0.236927755,0.23587532
Betsiboka_betsiboka_km0037,-16.2016,46.5534,7092324,1.038061691,0.922767462,0.565488786,0.55704001
Betsiboka_betsiboka_km0233,-17.2724,47.2296,7093623,0.999745421,1.223406337,0.396366635,0.356351264
Betsiboka_ikopa_km0158,-16.9159,46.8409,7093100,0.997666197,0.950919032,0.683231453,0.67944314
Betsiboka_kamoro_km0122,-16.5064,46.8986,7092448,0.992113945,0.938163142,0.844899091,0.832840559
Betsiboka_kamoro_km0127,-16.5216,46.9379,7092448,0.99905832,0.9372048,0.87675236,0.86167392
