Folder,Data_Source,Code,Name,Latitude,Longitude,COMID_v1,COMID_v2,Bias,Bias Corrected,Variability,Corrected Variability,Correlation,Corrected Correlation,KGE,Corrected KGE
Africa,Ethiopia,31013,Awash_at_Melka_Hombole,8.383333,38.783333,7055126,110884878,3.808302476,0.891443455,0.740655135,1.002804527,0.729275277,0.771237717,-1.83321627,0.746771702
Africa,GRDC,1104150,SIDI BELATAR,36.02,0.27,7000293,150293767,0.915132218,0.865226827,0.572507844,0.844900629,0.509135599,0.468765726,0.343570305,0.430412889
Africa,GRDC,1104450,FER A CHEVAL,36.67,2.82,7000070,150234194,0.782266964,1.376263353,0.526517008,0.752579234,0.632366823,0.637044088,0.362232039,0.421615923
Africa,GRDC,1104600,SIDI YAHIA,36.42,4.6,7000155,150275877,2.573746992,1.118196398,0.565873423,0.774856029,0.552626508,0.533977932,-0.692716314,0.469116996
Africa,GRDC,1104800,BOUCHEGOUF,36.45,7.72,7000140,150250082,0.167879028,1.132746493,0.76413183,1.0374235,0.703109196,0.784991546,0.085558501,0.744557668
Africa,GRDC,1107700,PIERRE DU CHAT,35.15,-1.45,7000697,150488274,1.423824853,3.050546147,0.316310717,0.393190083,0.311257184,0.316633005,-0.058973659,-1.244982901
Africa,GRDC,1107800,BENSEKRANE,35.07,-1.22,7000709,150531926,1.084956568,1.57753211,0.44960024,0.535892579,0.323418481,0.271880661,0.123689515,-0.038795845
Africa,GRDC,1112100,KAYES,14.45,-11.28,7039846,140568540,0.001425809,0.188811123,6.919719882,1.732935802,0.226410082,0.498571648,-5.052988952,-0.202768755
Africa,GRDC,1112110,KABATE,14.31,-11.13,7038813,140673368,3.084815382,0.237980179,2.966165397,2.369927967,0.473382992,0.480742095,-1.913689588,-0.651364773
Africa,GRDC,1112200,GOURBASSY,13.23,-11.38,7042358,140661803,2.547343056,0.950649416,0.63034456,0.776256208,0.769897872,0.821317666,-0.607439786,0.709441674
Africa,GRDC,1112300,GALOUGO,13.83,-11.13,7040646,140587514,3.387020523,0.955077869,0.741515676,0.816243249,0.810798591,0.838639114,-1.408418214,0.751359945
Africa,GRDC,1112320,OUALIA,13.36,-9.23,7042047,140677803,4.131352772,0.806363893,0.66816901,0.830406104,0.601759241,0.694517661,-2.17396876,0.600529738
Africa,GRDC,1112330,SIRAMAKANA,13.34,-9.53,7041180,140607909,3.119155345,0.588953543,0.579783403,0.81210869,0.475409551,0.649879639,-1.223195112,0.428295005
Africa,GRDC,1112340,TOUKOTO,13.45,-9.88,7041703,140631222,4.727316325,0.985775065,0.700599364,0.874733088,0.601728114,0.647943446,-2.760471808,0.626050852
Africa,GRDC,1112350,DIBIA,13.14,-10.48,7042093,140628328,2.910404426,1.159617745,0.867348514,0.916171724,0.836882348,0.85174348,-0.921938827,0.766579778
Africa,GRDC,1112400,FADOUGOU,12.31,-11.23,7044169,140593434,2.339805374,1.073832955,0.735310356,0.840915896,0.790986409,0.843220155,-0.381602594,0.76475762
Africa,GRDC,1112480,DAKA SAYDOU,12.15,-10.2,7044818,140618231,2.28626554,1.03028595,0.762279133,0.899472072,0.873273423,0.889814332,-0.314172696,0.847802811
Africa,GRDC,1112500,BAFING MAKANA,12.33,-10.16,7044698,140667691,2.674434869,1.083298957,0.839676834,0.920795468,0.838455286,0.860628565,-0.689832045,0.81934433
Africa,GRDC,1134020,GUELELINKORO,11.15,-8.55,7048067,140603729,2.546504934,1.184792363,0.905739659,0.941122423,0.871223656,0.930751663,-0.554717295,0.794062828
Africa,GRDC,1134030,BANANKORO,11.6833,-8.6667,7046247,140645914,2.012777303,1.140330456,0.832568044,0.978351957,0.8738938,0.892012394,-0.034240832,0.821611106
Africa,GRDC,1134040,GOUALA,11.97,-8.23,7045656,140597846,1.917670593,1.156894903,0.888913525,0.925296138,0.840012027,0.865091601,0.061887174,0.780006923
Africa,GRDC,1134050,SELINGUE,11.58,-8.17,7046215,140578944,2.183165627,1.173929105,0.872126389,0.929608501,0.821805308,0.852881816,-0.203322861,0.761567501
Africa,GRDC,1134060,YANFOLILA,11.13,-8.2,7047806,140587713,1.967896539,1.311949986,0.530355145,0.585402177,0.36036316,0.502303622,-0.25160908,0.281038364
Africa,GRDC,1134080,MADINA DIASSA,10.8,-7.67,7048474,140613947,3.744892484,1.151132822,0.826435455,0.925426138,0.805851026,0.870111573,-1.757218385,0.787224545
Africa,GRDC,1134100,KOULIKORO,12.8667,-7.55,7043104,140610883,1.747488961,1.113653544,0.868411201,0.969213149,0.858144302,0.873070371,0.227874104,0.826863958
Africa,GRDC,1134110,BOUGOUNI,11.4,-7.45,7046813,140656126,2.434186139,1.182403574,0.855305274,0.932988644,0.798431521,0.863628973,-0.455491772,0.762600247
Africa,GRDC,1134150,KOLONDIEBA,11.07,-6.85,7047830,140628488,4.483363041,1.017530861,0.818751345,0.928050108,0.658016719,0.802185625,-2.504799811,0.788778209
Africa,GRDC,1134200,DIOILA,12.52,-6.8,7043969,140673515,1.807114894,1.179150589,0.886767286,0.916102013,0.753486866,0.802553446,0.148516104,0.72050233
Africa,GRDC,1134220,PANKOUROU,11.42,-6.57,7046695,140584781,1.379112491,1.132727443,0.848765932,0.935663813,0.721365773,0.793743156,0.505798567,0.746430276
Africa,GRDC,1134250,KIRANGO AVAL,13.7167,-6.05,7041419,140632663,2.046685724,1.246563133,0.829540496,0.918528112,0.845026256,0.85710251,-0.071738918,0.703603746
Africa,GRDC,1134300,DOUNA,13.2167,-5.9,7042161,140632696,1.529221665,1.279942073,0.856256483,0.928262596,0.704858586,0.765961513,0.377226989,0.628129279
Africa,GRDC,1134310,KOUORO 2,12.02,-6.68,7045676,140597840,1.416080327,0.821822775,1.479783398,1.063945355,0.36782695,0.6292215,0.103920923,0.583691427
Africa,GRDC,1134320,KOUORO 1,12.02,-6.68,7045676,140597840,0.710118773,0.999093599,1.438924082,1.003065821,0.303072299,0.562863308,0.126848412,0.562851618
Africa,GRDC,1134350,KLELA,11.68,-5.58,7046136,140593498,0.912493041,1.040672371,1.469188878,0.952783819,0.484418255,0.76058884,0.297418896,0.752611009
Africa,GRDC,1134400,KE-MACINA,13.95,-5.37,7041419,140622448,1.857506464,1.154991648,0.862294898,0.922269909,0.859189906,0.874145912,0.120166202,0.785748677
Africa,GRDC,1134420,KARA,14.17,-5.02,7039566,140431694,3.94E-05,0.253309528,6.194651818,1.826678235,0.119751026,0.61764625,-4.362757405,-0.177768209
Africa,GRDC,1134450,BENENY-KEGNY,13.38,-4.92,7041724,140606476,1.307847966,1.14438832,1.00177507,0.923557985,0.712727884,0.829543846,0.578931372,0.763892675
Africa,GRDC,1134460,TILEMBEYA,14.15,-4.98,7039904,140623891,2.474477219,1.039522976,0.93972875,0.96698193,0.890344268,0.917413444,-0.479777035,0.902671701
Africa,GRDC,1134480,SOFARA,14.02,-4.25,7040218,140679229,1.808744901,1.157034229,1.153841655,0.91445504,0.648603556,0.830648867,0.104893844,0.753712576
Africa,GRDC,1134500,NANTAKA (MOPTI),14.53,-4.22,7039063,140680647,3.053631037,1.158394726,1.076813526,0.939131985,0.759615833,0.861997125,-1.06907837,0.781279635
Africa,GRDC,1134505,MOPTI,14.53,-4.22,7039063,140666091,0.946391509,0.981631767,1.133796444,1.022128937,0.954393352,0.972863639,0.848820223,0.960459339
Africa,GRDC,1134600,AKKA,15.4,-4.23,7036843,140632534,0.017112318,0.748677991,4.080214307,1.101054355,0.030861712,0.938002389,-2.37535441,0.722117941
Africa,GRDC,1134620,GOUNDAM,16.42,-3.65,7034167,140529084,0.002954746,0.136691482,4.327820899,2.635590917,-0.108474829,0.109481922,-2.646533645,-1.052676714
Africa,GRDC,1134630,TONKA,16.13,-3.75,7034867,140479603,4.35E-05,0.364685835,20.86533936,1.770777809,-0.032207071,0.587500334,-18.91725564,-0.080684271
Africa,GRDC,1134650,SARAFERE,15.82,-3.7,7035658,140660169,27.4622518,1.168409486,1.206391329,0.910025622,0.394073909,0.79174683,-25.46999272,0.717464115
Africa,GRDC,1134700,DIRE,16.2667,-3.3833,7034775,140504347,3.214843225,1.11272345,1.367937414,0.930108139,0.503128283,0.849507493,-1.299519505,0.799402285
Africa,GRDC,1134730,KORYOUME,16.6666,-3.0333,7033566,140556730,3.981662289,1.062292492,1.224873101,0.969591587,0.52792893,0.83406785,-2.027165178,0.820170902
Africa,GRDC,1134850,TOSSAYE,16.93,-0.58,7032840,140448965,3.204081812,1.117737023,1.63943837,0.899492934,0.282587553,0.840963595,-1.404483039,0.778062497
Africa,GRDC,1134900,ANSONGO,15.6667,0.5,7036338,140561171,3.412058944,1.081627641,1.517190125,0.935663876,0.287868522,0.782485281,-1.567614694,0.758929759
Africa,GRDC,1147010,KINSHASA,-4.3,15.3,7078330,130800352,1.701783062,1.010261434,2.081890972,0.957848988,0.528310851,0.774894003,-0.373127159,0.770751849
Africa,GRDC,1159100,VIOOLSDRIF (27811003),-28.757778,17.721389,7104378,120552054,1.899904662,1.307453473,0.609007975,0.7340017,0.45032743,0.40055644,-0.124652435,0.27569667
Africa,GRDC,1159103,PELLA MISSION,-28.963403,19.151922,7104513,120533763,3.432374352,1.120873077,0.491493537,0.868033039,0.486448013,0.59765193,-1.537471075,0.55964838
Africa,GRDC,1159105,SENDELINGSDRIF,-28.07583,16.89833,7103974,120585290,6.249386129,0.589878205,0.876052194,0.788731297,0.303619366,0.449160688,-4.296825821,0.281488832
Africa,GRDC,1159110,HARDEHEUWEL (27814003),-31.806667,20.357778,7106039,120359226,0.555509954,3.076874251,0.475448567,0.35156932,0.158970462,0.305693808,-0.086303959,-1.283841082
Africa,GRDC,1159120,BONEKRAAL (27814011),-31.815278,20.578056,7105928,120407484,0.922162588,7.563057961,0.195660147,0.159102657,0.211981653,0.131247416,-0.128713505,-5.673497523
Africa,GRDC,1159125,LEEUWENKUIL,-31.43716,20.474169,7105808,120429090,1.563463403,3.353352522,0.39562202,0.316060186,0.252329769,0.288490568,-0.114349372,-1.551918383
Africa,GRDC,1159130,HOL PADS LEEGTE (27814016),-30.474444,20.519167,7105299,120425703,1.320911257,3.006259373,0.362155943,0.444356759,0.322243578,0.35561572,0.015529155,-1.17923087
Africa,GRDC,1159131,WINDHOEK (27814013),-31.366111,21.322222,7105717,120447390,0.715775958,3.067676213,0.223922134,0.251787829,0.161443225,0.18286777,-0.177394423,-1.345807208
Africa,GRDC,1159290,KAKAMAS SOUTH NEUSBERG,-28.77466,20.722429,7104373,120515447,2.495939974,0.919983957,0.586597583,0.816443201,0.458399091,0.385604504,-0.643797283,0.353797639
Africa,GRDC,1159300,UPINGTON,-28.457778,21.239167,7104190,120548707,2.015309258,1.171757776,0.67651707,0.820246325,0.484913171,0.443201662,-0.183557577,0.390216016
Africa,GRDC,1159301,PRIESKA (27815102),-29.651667,22.745833,7104884,120482224,2.254969952,1.149854511,0.56305252,0.793567483,0.524536304,0.515215255,-0.411360481,0.452198022
Africa,GRDC,1159302,MARKSDRIFT (27815208),-29.161944,23.695833,7104688,120523792,1.664878139,1.072382185,0.694605277,0.731582627,0.445489885,0.436120906,0.081952973,0.371313513
Africa,GRDC,1159303,VLUYTJESKRAAL (27815205),-29.814722,24.4375,7104961,120477242,10.28948904,1.416497739,1.053119564,0.723448919,-0.060859096,-0.07703101,-8.350018732,-0.18741175
Africa,GRDC,1159304,IRENE,-29.182852,23.575107,7104640,120498831,1.897802145,0.761883258,0.65354824,0.783244667,0.477957058,0.39836461,-0.094808818,0.317616237
Africa,GRDC,1159305,DE EERSTEPOORT,-30.534722,24.9625,7105409,120473960,3.413553411,1.73179438,0.436628206,0.430368541,0.305282294,0.306997175,-1.573958146,-0.157694229
Africa,GRDC,1159310,SHANNON VALLEY (27817207),-29.144167,26.318056,7104660,120447247,0.484832202,0.741369059,1.209744962,1.262151205,0.224385915,0.228330385,0.045553554,0.144963619
Africa,GRDC,1159320,KROMDRAAI (27817212),-29.658056,25.972778,7104885,120448944,0.819308265,0.568243375,1.742362697,1.292142016,0.268973654,0.279029125,-0.05742678,0.110303566
Africa,GRDC,1159321,RIVIERA (27817208),-29.8125,26.2117,7104973,120433978,1.124497009,1.301713717,0.941132988,0.81537076,0.19729101,0.201931684,0.18556366,0.127055466
Africa,GRDC,1159325,OS POORT (27817209),-29.9025,26.214444,7105005,120405697,5.285660364,1.997979927,0.550429008,0.522890529,0.042420263,0.086357485,-3.41429018,-0.434691614
Africa,GRDC,1159330,KLIPDRIFT,-29.0425,24.599167,7104559,120530440,0.984627959,0.95913398,0.551756439,1.52363378,0.17456134,0.313621975,0.060581258,0.135721596
Africa,GRDC,1159333,LIKATLONG,-29.160833,26.572222,7104638,120453905,0.92383452,0.580280664,1.543441746,1.40499014,0.186309451,0.219460024,0.018561046,0.025616098
Africa,GRDC,1159335,TWEERIVIERE,-29.028611,24.638333,7104564,120482183,1.868832604,1.788191184,0.395483938,0.510700114,0.215656637,0.324374034,-0.317385393,-0.147662915
Africa,GRDC,1159337,GLEN,-28.948611,26.321111,7104509,120495491,0.351295253,0.81237659,0.780679922,1.161947986,0.269198646,0.407051551,-0.001493766,0.35733558
Africa,GRDC,1159400,TAUNG (27817303),-27.573333,24.745833,7103626,120605224,2.795634397,1.466939999,0.755371852,0.654475987,0.192581354,0.196131202,-0.983953297,0.00822137
