Station,River,Drainage_b,Latitude,Longitude,Area_sim_km2,Type,Validation,COMID,watershed,subbasin,Country,Climate
Adiyan_adiyan_km0157,Adiyan,Adiyan,7.2926,3.207,9543.8,Operational,Automatic,7058228,africa,geoglows,Nigeria,Tropical
Adiyan_adiyan_km0158,Adiyan,Adiyan,7.3024,3.2019,9543.8,Operational,Automatic,7058228,africa,geoglows,Oigeria,Tropical
Bandama_bandama_km0076,Bandama,Bandama,5.6149,-4.8287,100553.93,Operational,Automatic,7062823,africa,geoglows,Ivory Coast,Tropical
Bandama_bandama_km0156,Bandama,Bandama,6.1286,-4.953,61642.6,Operational,Automatic,7061393,africa,geoglows,Ivory Coast,Tropical
Bandama_bandama_km0255,Bandama,Bandama,6.6004,-5.3724,57519.29,Operational,Automatic,7060067,africa,geoglows,Ivory Coast,Tropical
Bandama_bandama-Blanc_km0526,Bandama-blanc,Bandama,8.1106,-5.3951,25403.56,Operational,Automatic,7056365,africa,geoglows,Ivory Coast,Tropical
Bandama_bandama-Blanc_km0533,Bandama-blanc,Bandama,8.1639,-5.3979,25403.56,Operational,Automatic,7056365,africa,geoglows,Ivory Coast,Tropical
Bandama_bandama-Blanc_km0573,Bandama-blanc,Bandama,8.337,-5.4371,22771.59,Operational,Automatic,7055419,africa,geoglows,Ivory Coast,Tropical
Bandama_bandama-Blanc_km0575,Bandama-blanc,Bandama,8.3431,-5.4479,22771.59,Operational,Automatic,7055419,africa,geoglows,Ivory Coast,Tropical
Bandama_marahoue_km0309,Marahoue,Bandama,6.9081,-5.5849,22117.22,Operational,Expert,7059175,africa,geoglows,Ivory Coast,Tropical
Bandama_n-Zi_km0691,N-zi,Bandama,7.7321,-4.648,10874.35,Operational,Automatic,7056949,africa,geoglows,Ivory Coast,Tropical
Batha_batha_km0185,Batha,Batha,13.0976,18.5613,49262.12,Operational,Automatic,7042639,africa,geoglows,Chad,Arid
Batha_batha_km0320,Batha,Batha,12.9581,19.2274,39064.79,Operational,Automatic,7042801,africa,geoglows,Chad,Arid
Batha_batha_km0453,Batha,Batha,13.2659,19.9841,35136.53,Operational,Automatic,7042097,africa,geoglows,Chad,Arid
Betsiboka_betsiboka_km0017,Betsiboka,Betsiboka,-16.0586,46.5796,62011.44,Operational,Automatic,7091924,africa,geoglows,Madagascar,Tropical
Betsiboka_betsiboka_km0037,Betsiboka,Betsiboka,-16.2016,46.5534,60176.07,Operational,Automatic,7092324,africa,geoglows,Madagascar,Tropical
Betsiboka_betsiboka_km0233,Betsiboka,Betsiboka,-17.2724,47.2296,11608.26,Operational,Automatic,7093623,africa,geoglows,Madagascar,Tropical
Betsiboka_ikopa_km0158,Ikopa,Betsiboka,-16.9159,46.8409,25794.54,Operational,Automatic,7093100,africa,geoglows,Madagascar,Tropical
Betsiboka_kamoro_km0122,Kamoro,Betsiboka,-16.5064,46.8986,14141.87,Operational,Automatic,7092448,africa,geoglows,Madagascar,Tropical
